"StationID","Easting","Northing","Coyote","mange"
"D02-HUP0",442002.5,4639558.5,"no coyote",NA
"D02-JBS1",446955,4644300,"coyote","no mange"
"D02-MBS0",447555,4645871.5,"no coyote",NA
"D02-MDU1",447542,4646060,"coyote","no mange"
"D02-MOP1",439938,4640991,"no coyote",NA
"D02-RCP1",442530,4643467,"coyote","no mange"
"D02-SCP1",443127,4641452,"no coyote",NA
"D03-AFP1",440609,4644105,"no coyote",NA
"D03-AMP1",438005,4646551,"no coyote",NA
"D03-CHP1",436807,4643667,"no coyote",NA
"D03-GOM1",439467,4647289,"no coyote",NA
"D03-MFP0",438516,4645953.5,"no coyote",NA
"D04-DNP1",435016,4646204,"coyote","no mange"
"D04-EDW0",436665.333333333,4648971.33333333,"coyote","no mange"
"D04-EVC0",436436,4649074.5,"coyote","no mange"
"D04-FGP1",437490,4647531,"no coyote",NA
"D04-RDP1",434928,4648923,"no coyote",NA
"D04-ROS0",442963,4648631.5,"no coyote",NA
"D05-ADC1",433486,4651062,"coyote","no mange"
"D05-BRP1",433167,4651141,"coyote","mange"
"D05-MHC1",431095,4654039,"coyote","no mange"
"D05-MIA1",434129,4652772,"coyote","no mange"
"D05-PRC1",431129,4652505,"coyote","mange"
"D06-KCG1",429421,4658994,"coyote","mange"
"D07-ASC0",426079,4656775,"coyote","mange"
"D07-BEC0",427088.5,4659782.5,"coyote","mange"
"D07-NOC1",427273,4660625,"coyote","mange"
"D07-PLN1",425355,4661968,"no coyote",NA
"D08-BOR1",427092,4665606,"no coyote",NA
"D08-CCC1",423792,4667808,"coyote","mange"
"D08-DAW0",426187.5,4663908,"coyote","mange"
"D08-DAW2",425502,4665194,"coyote","mange"
"D09-BON0",421507.5,4671093.5,"coyote","mange"
"D09-CLG0",424226.5,4671020,"coyote","mange"
"D09-RYW1",425325,4669890,"coyote","mange"
"D09-VTC1",423286,4672819,"coyote","no mange"
"D10-CAN0",422531.5,4676843.5,"coyote","no mange"
"D10-KEM1",422642,4678827,"coyote","mange"
"D10-MAC1",423491,4678479,"coyote","mange"
"D10-VHC1",421816,4674934,"coyote","mange"
"J01-BBS1",449319,4633118,"coyote","no mange"
"J01-CLP1",445913,4640354,"coyote","no mange"
"J01-LMP1",449308,4631876,"coyote","mange"
"J01-SEP1",446999,4639027,"coyote","no mange"
"J01-SKP1",445154,4636654,"no coyote",NA
"J01-UIC1",446383,4635431,"no coyote",NA
"R02-ALT1",442607,4636103,"coyote","no mange"
"R02-DPG1",441926,4634510,"no coyote",NA
"R02-FRP1",439183,4634676,"no coyote",NA
"R03-AUP1",436203,4637589,"coyote","no mange"
"R03-CPG1",435929,4636259,"coyote","mange"
"R03-EUC1",434285,4635174,"coyote","no mange"
"R03-MAP1",433295,4635416,"coyote","no mange"
"R04-MMW0",430987,4633677.5,"coyote","no mange"
"R04-SCH1",429577,4634101,"coyote","no mange"
"R05-FMG1",424224,4633329,"coyote","no mange"
"R05-GOC1",426715,4634340,"coyote","no mange"
"R05-MTC1",424431,4635651,"coyote","no mange"
"R05-STP1",427869,4637181,"coyote","no mange"
"R06-OTB1",418834,4633860,"coyote","mange"
"R06-SLT1",420847,4635567,"coyote","mange"
"R06-SLT2",420606,4636302,"coyote","mange"
"R06-YOW1",422550,4634509,"coyote","no mange"
"R07-FSP1",415139,4633726,"coyote","no mange"
"R07-GOF1",413527,4635414,"coyote","mange"
"R07-MMP1",416773,4636279,"coyote","no mange"
"R07-YHR1",417861,4635347,"coyote","mange"
"R08-DAP1",410451,4636475,"coyote","no mange"
"R08-PAP1",412095,4634351,"coyote","mange"
"R08-VLG1",411104,4633916,"coyote","mange"
"R08-WBK1",411883,4632753,"coyote","mange"
"R09-BLW1",404784,4635214,"coyote","mange"
"R09-CTG0",404247.666666667,4634037.66666667,"coyote","mange"
"R09-LIM0",406574.5,4636086,"coyote","no mange"
"R09-SMI1",407666,4634032,"coyote","mange"
"R10-FRM1",395087,4630453,"coyote","no mange"
"R10-FRM2",395829,4632027,"coyote","no mange"
"R10-WCP0",398185.666666667,4638025,"coyote","no mange"
"R10-WDW0",401023.5,4635612.5,"coyote","mange"
"S02-BNS1",450739,4629074,"coyote","no mange"
"S02-BRI1",442042,4631036,"no coyote",NA
"S02-CPR1",444272,4632517,"coyote","mange"
"S02-MCP1",443849,4630690,"coyote","no mange"
"S02-PIP1",439385,4631521,"coyote","no mange"
"S03-ARP1",439022,4628447,"no coyote",NA
"S03-JKP1",451553,4625766,"no coyote",NA
"S03-JKP2",451796,4626151,"coyote","no mange"
"S03-LCP1",437635,4629399,"coyote","mange"
"S03-PSP1",439199,4626503,"no coyote",NA
"S03-VIP1",437876,4628109,"no coyote",NA
"S03-WAP1",440288,4629118,"coyote","no mange"
"S04-HAP1",435234,4625682,"coyote","no mange"
"S04-OTW1",433244,4629563,"coyote","mange"
"S04-SSP1",433760,4627804,"coyote","mange"
"S04-VFP1",433888,4626105,"coyote","no mange"
"S04-WEP1",435111,4626634,"no coyote",NA
"S05-LNC1",429760,4621558,"coyote","mange"
"S05-RES1",431534,4623607,"coyote","mange"
"S05-SFP0",428743,4623486,"coyote","mange"
"S06-CBW1",425314,4619769,"coyote","mange"
"S07-SAG1",422039,4616369,"coyote","mange"
"S07-STJ1",422440,4616686,"coyote","no mange"
"S07-WGL0",421525,4617070,"coyote","mange"
"S08-WGL1",416857,4616262,"coyote","mange"
"S08-WGL2",417471,4616052,"coyote","mange"
"S09-ILC1",411684,4610203,"coyote","no mange"
"S09-KTP1",413952,4614568,"coyote","mange"
"S09-SMC1",415686,4612193,"coyote","no mange"
"S09-VTW0",411682,4613719.5,"coyote","mange"
"S10-ILC1",410942,4610112,"coyote","no mange"
"S10-LEW1",410239,4605858,"coyote","mange"
"S10-LPC1",412640,4604963,"coyote","no mange"
"S10-LPP0",410620,4604018.5,"coyote","no mange"
