"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.20","psrf"
"a0",-1.84628,-0.8913245,0.00806151,-0.915543475526358,0.482689843083692,NA,0.0236900838661038,4.9,415,0.719177287242963,1.04099840283101
"a",-0.970312,-0.685901,-0.433102,-0.690814690024798,0.138005365232872,NA,0.00374445220498346,2.7,1358,0.352781207238036,1.00623081108434
"aseason[1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"aseason[2]",-1.5012,-0.3710515,0.590573,-0.42216100437841,0.556974468822818,NA,0.0212064296964411,3.8,690,0.570620009862557,1.01810318411179
"aseason[3]",-1.69293,0.06253755,1.36439,-0.0389944595701744,0.784984238306712,NA,0.0396353185598304,5,392,0.718521326128268,1.02611097818115
"aseason[4]",-0.174555,0.6036535,1.43746,0.62031123574898,0.419239554428305,NA,0.0138739129582252,3.3,913,0.455643855201185,1.00911815970354
"ayear[1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"ayear[2]",-1.27461,-0.2120035,0.862611,-0.239052049036285,0.552034034833285,NA,0.0240085398790733,4.3,529,0.630650735520889,1.03944134042744
"ayear[3]",-0.467345,0.390406,1.31199,0.403700631954268,0.450452648668933,NA,0.0187633541145936,4.2,576,0.591310976736218,1.02503020122716
"ayear[4]",-1.26912,-0.258727,0.730392,-0.261921812778546,0.509667095432349,NA,0.0173190620790606,3.4,866,0.465856648054856,1.01338452641331
"b0",-1.37877,0.0520411,1.46291,0.0575262751419641,0.72970806574829,NA,0.0474426623160552,6.5,237,0.829946580719504,1.04314892395168
"b[1]",-0.2908,0.1572895,0.534725,0.15073978583039,0.209298657882551,NA,0.00641148451768149,3.1,1066,0.443857207740773,1.00639482122021
"b[2]",-0.858851,-0.29484,0.149961,-0.317748468978925,0.265496873501506,NA,0.00322280115494328,1.2,6787,0.0360304737824821,1.0005452942304
"bseason[1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"bseason[2]",-1.55008,0.0168783,1.78349,0.0614987582439509,0.853910531408209,NA,0.0326780285979591,3.8,683,0.598692041779305,1.0119454711808
"bseason[3]",-0.876027,0.993811,3.18299,1.05181863362751,1.03690606103598,NA,0.0559957855969567,5.4,343,0.766805099726203,1.01938194061077
"bseason[4]",-2.28201,-0.9349905,0.317908,-0.945214927993341,0.657409751745065,NA,0.0213499567286004,3.2,948,0.463231426127229,1.00605403704546
"byear[1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"byear[2]",-1.06427,0.426544,1.92872,0.458034374527362,0.774021641436878,NA,0.0348052240447413,4.5,495,0.671919000563657,1.03864372311853
"byear[3]",-1.79406,-0.5176995,0.833429,-0.502262672930314,0.680847113924654,NA,0.0323422687416811,4.8,443,0.624089400682289,1.02426927906326
"byear[4]",-0.59453,0.8075565,2.18991,0.803856330417247,0.705054387910067,NA,0.0256896626381333,3.6,753,0.543200047244689,1.01979123381893
"d0",-0.599902,-0.357925,-0.12342,-0.359034232535797,0.122004388991286,NA,0.00233547274532001,1.9,2729,0.12581793183503,1.00084706625229
"d",-0.199467,-0.0976387,0.00114252,-0.0982046435364207,0.0513164388776021,NA,0.000608956081339919,1.2,7101,0.00467212876873701,1.00047491737795
"dseason[1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"dseason[2]",-0.497999,-0.1205315,0.258529,-0.12276997287415,0.191818360664791,NA,0.00293496366843407,1.5,4271,0.0827639232439654,1.00031727430439
"dseason[3]",-0.247268,0.0819277,0.427707,0.0818657428360051,0.172218055401805,NA,0.00287535355446955,1.7,3587,0.0968114291706843,1.00023824904179
"dseason[4]",0.335645,0.6517375,0.984541,0.651999947812975,0.165628149846734,NA,0.00246435115313222,1.5,4517,0.0682350699549311,1.00004004523799
"f0",-3.36075,-2.46531,-1.55376,-2.46468928705704,0.460944706929563,NA,0.0122227389752067,2.7,1422,0.296204004884032,1.00286490902951
"f[1]",0.716589,1.256945,1.82831,1.26516421426286,0.286789298528737,NA,0.00452864673787446,1.6,4010,0.0732955327949561,1.00055807740957
"f[2]",-1.76361,-1.14682,-0.5729,-1.15745672442485,0.303441164971635,NA,0.00465565498738873,1.5,4248,0.0760665343052671,1.00075161773252
"f[3]",0.0633486,0.5668255,1.06775,0.568826697347411,0.255518140297578,NA,0.0041365298379989,1.6,3816,0.0820988814797779,1.00140820546942
"f[4]",-0.440028,-0.0940054,0.249783,-0.0924224483707743,0.175835961075855,NA,0.00341404459079668,1.9,2653,0.155820654410563,1.00203798967246
"fseason[1]",0,0,0,0,0,0,NA,NA,NA,NA,NA
"fseason[2]",-1.05276,0.007231095,1.16851,0.0131540292896288,0.565992726019353,NA,0.0129430539632427,2.3,1912,0.211911096595758,1.00152803676426
"fseason[3]",-2.50243,-1.325025,-0.193233,-1.32714539855976,0.583393104979903,NA,0.0153921502405238,2.6,1437,0.239908943292229,1.00285556249486
"fseason[4]",-0.73561,0.352888,1.48774,0.355019270502084,0.567405408441823,NA,0.0112778648595749,2,2531,0.162995530492861,1.00114835309711
